timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1514403876.896166,0.405463,1.442352,1.403391,0.099005,0.220063,-0.190336,0.050516,-0.991762,-0.117685,-0.025080,0.006914,0.007364,-34.101913,-47.645027,32.138306,,,,,,,1
1514403876.906146,0.425420,1.442317,1.385670,0.086361,0.250491,-0.219101,0.052869,-0.991758,-0.116685,-0.026913,-0.012576,0.020142,-34.214188,-47.561214,31.981323,,,,,,,1
1514403876.916155,0.448229,1.442011,1.365516,0.079132,0.290699,-0.259579,0.055648,-0.991719,-0.115722,-0.007140,-0.006313,0.023010,-34.214188,-47.561214,31.981323,,,,,,,1
1514403876.926135,0.473677,1.441474,1.342848,0.085653,0.297506,-0.289486,0.058817,-0.991650,-0.114743,0.004843,0.008724,0.006131,-33.901245,-47.706394,31.959473,,,,,,,1
1514403876.936114,0.499140,1.441197,1.319673,0.125998,0.229590,-0.269396,0.061852,-0.991614,-0.113450,0.005668,-0.001886,-0.011717,-33.901245,-47.706394,31.959473,,,,,,,1
1514403876.946124,0.522275,1.441191,1.298120,0.133142,0.160579,-0.237604,0.064463,-0.991613,-0.111995,0.012335,-0.013682,-0.011449,-33.638031,-47.740082,31.987671,,,,,,,1
1514403876.956103,0.543571,1.441008,1.277997,0.112644,0.117757,-0.233553,0.066927,-0.991589,-0.110752,0.048033,-0.014789,0.005756,-33.638031,-47.740082,31.987671,,,,,,,1
1514403876.966082,0.562097,1.440766,1.259030,0.104393,-0.078405,-0.221609,0.069095,-0.991558,-0.109696,0.052655,-0.003025,0.009217,-33.539963,-47.704369,32.097534,,,,,,,1
1514403876.976092,0.578358,1.440244,1.240740,0.078282,-0.204523,-0.235054,0.071153,-0.991490,-0.108993,0.030760,0.017628,-0.022950,-33.539963,-47.704369,32.097534,,,,,,,1
1514403876.986071,0.594328,1.439635,1.222711,0.080467,-0.187479,-0.228556,0.073222,-0.991411,-0.108342,0.010076,0.025972,-0.025508,-33.271439,-48.129673,32.040894,,,,,,,1
1514403876.996050,0.608764,1.439182,1.206286,0.083579,-0.191122,-0.197549,0.075035,-0.991351,-0.107642,-0.020790,0.038501,-0.016137,-33.271439,-48.129673,32.040894,,,,,,,1
1514403877.006060,0.620828,1.438823,1.191840,0.079017,-0.246121,-0.168923,0.076536,-0.991304,-0.107019,-0.012235,0.066240,-0.022894,-33.102859,-48.325256,32.379333,,,,,,,1
1514403877.016039,0.628498,1.438654,1.180377,0.072908,-0.412814,-0.118338,0.077453,-0.991282,-0.106564,0.032517,0.062098,-0.032047,-33.102859,-48.325256,32.379333,,,,,,,1
1514403877.026019,0.633992,1.438795,1.170864,0.093339,-0.362970,-0.087061,0.077954,-0.991300,-0.106024,0.059146,0.027616,-0.014246,-32.850479,-48.064999,32.830078,,,,,,,1
1514403877.036028,0.641328,1.439246,1.161086,0.116370,-0.198351,-0.068102,0.078462,-0.991360,-0.105091,0.048156,-0.021107,0.023593,-32.850479,-48.064999,32.830078,,,,,,,1
1514403877.046008,0.643929,1.439797,1.156656,0.053041,-0.185453,0.027038,0.078406,-0.991432,-0.104449,0.005151,-0.009087,0.035113,-32.515961,-47.813038,32.921814,,,,,,,1
1514403877.055987,0.634490,1.440166,1.159491,0.007097,-0.750702,0.014805,0.077200,-0.991480,-0.104889,0.041407,0.170832,0.025467,-32.515961,-47.813038,32.921814,,,,,,,1
1514403877.065997,0.642283,1.439876,1.147380,0.097977,-0.325477,-0.168175,0.078187,-0.991442,-0.104515,-0.015565,0.028658,-0.046105,-32.150208,-48.121361,33.209045,,,,,,,1
1514403877.075976,0.642104,1.440673,1.143441,0.072917,-0.538962,0.101435,0.077696,-0.991546,-0.103896,-0.091230,-0.206925,0.024490,-32.150208,-48.121361,33.209045,,,,,,,1
1514403877.085955,0.610144,1.441983,1.165274,-0.022508,-1.031688,0.287313,0.073591,-0.991715,-0.105261,0.040865,0.189744,0.028204,-31.942337,-48.055145,33.761505,,,,,,,1
1514403877.095965,0.603842,1.443077,1.166212,0.121872,-0.388950,0.004857,0.072310,-0.991855,-0.104829,0.167177,0.104770,-0.039367,-31.942337,-48.055145,33.761505,,,,,,,1
1514403877.105944,0.616083,1.444501,1.151813,0.223451,-0.178279,-0.078520,0.072771,-0.992035,-0.102782,-0.035906,-0.323120,0.019286,-31.626892,-47.956852,33.882935,,,,,,,1
1514403877.115923,0.632377,1.445364,1.134751,0.186789,-0.014471,-0.140959,0.073929,-0.992144,-0.100892,-0.194886,-0.088667,0.030900,-31.626892,-47.956852,33.882935,,,,,,,1
1514403877.125933,0.652766,1.445778,1.115542,0.174745,0.178775,-0.168995,0.075721,-0.992195,-0.099037,-0.096107,0.138909,0.046684,-31.393860,-47.887466,34.084503,,,,,,,1
1514403877.135913,0.673051,1.446175,1.097127,0.172580,0.184966,-0.150789,0.077469,-0.992245,-0.097173,-0.002457,0.063961,0.029699,-31.393860,-47.887466,34.084503,,,,,,,1
1514403877.145892,0.690755,1.446480,1.079779,0.155830,-0.001425,-0.146303,0.078985,-0.992283,-0.095553,0.040064,-0.037655,0.002215,-31.336517,-47.736126,34.155670,,,,,,,1
